League,Team,Department,Full Name,Title
NFL,Buffalo Bills,Ownership,Terry and Kim Pegula,Owners
NFL,Buffalo Bills,Executive,John Roth,Executive Vice President & Chief Operating Officer
NFL,Buffalo Bills,Executive,Kathryn D'Angelo,"Senior Vice President, Business Administration"
NFL,Buffalo Bills,Executive,Dawn Aponte,Chief Football Administrative Officer
NFL,Buffalo Bills,Executive,Gregg Brandon,Vice President of Football Administration
NFL,Buffalo Bills,Executive,Kevin Meganck,"Vice President, Football Operations"
NFL,Buffalo Bills,Executive,Marlon Kerner,"Vice President, Player Services"
NFL,Buffalo Bills,Finance,Josh Dziurlikowski,Senior Vice President of Finance & Business Administration
NFL,Buffalo Bills,Finance,Valerie Gay,Vice President of Finance
NFL,Buffalo Bills,Finance,Greg Gorski,Controller
NFL,Buffalo Bills,Finance,Kyle Huson,Director of Finance
NFL,Buffalo Bills,Finance,Michael Ciesolka,Senior Financial Analyst
NFL,Buffalo Bills,Finance,Emily Baldwin,Payroll Manager
NFL,Buffalo Bills,Finance,Amy Gorski,Staff Accountant
NFL,Buffalo Bills,Finance,Taylor Groff,Staff Accountant
NFL,Buffalo Bills,Legal,Jim Overdorf,Senior Advisor to the General Manager & Football Operations
NFL,Buffalo Bills,Legal,John Livsey,General Counsel
NFL,Buffalo Bills,Legal,Caitlin Bero,Associate Counsel
NFL,Buffalo Bills,People & Culture,Trishalee Williams,Vice President of People and Culture
NFL,Buffalo Bills,People & Culture,Caitlin Anderson,Director of Human Resources
NFL,Buffalo Bills,People & Culture,Alyssa Althoff,Human Resources Coordinator
NFL,Buffalo Bills,Marketing,Ron Raccuia,Executive Vice President/Chief Business Officer
NFL,Buffalo Bills,Marketing,Michelle Girardi Zumwalt,Senior Vice President of Marketing and Content
NFL,Buffalo Bills,Marketing,Chris Cowart,Vice President of Marketing
NFL,Buffalo Bills,Marketing,Dan Evans,"Senior Director, Brand and Fan Development"
NFL,Buffalo Bills,Marketing,Preston Teague,Director of Community Relations & Youth Football
NFL,Buffalo Bills,Marketing,Rachel Pinchadse,Director of Marketing
NFL,Buffalo Bills,Marketing,Zachary Rutkowski,Community Relations Manager
NFL,Buffalo Bills,Marketing,Jesse Lovejoy,"Director, Jr. Bills Football and Fan Development"
NFL,Buffalo Bills,Marketing,Jenna Lagesse,Manager of Jr. Bills Football and Fan Development
NFL,Buffalo Bills,Marketing,Tyler Walker,Youth Football Coordinator
NFL,Buffalo Bills,Marketing,Alex Feuz,Social Media Manager
NFL,Buffalo Bills,Marketing,John DeLibero,Creative Director
NFL,Buffalo Bills,Marketing,Ryan McGowan,Senior Graphic Designer
NFL,Buffalo Bills,Marketing,Alex Bali,Graphic Designer
NFL,Buffalo Bills,Marketing,Nate Genrich,Graphic Designer
NFL,Buffalo Bills,Marketing,Ashley Meganck,Social Media Coordinator
NFL,Buffalo Bills,Marketing,Maddy Glab,Multimedia Content Producer
NFL,Buffalo Bills,Marketing,Alexandra Vitale,Team Reporter
NFL,Buffalo Bills,Broadcasting,Chris Brown,"Senior Manager, Bills Radio Network"
NFL,Buffalo Bills,Broadcasting,Jay Gallaccio,"Producer/Engineer, Bills Radio Network"
NFL,Buffalo Bills,Media & Content,Jordan Blain,"Senior Producer, Media and Content"
NFL,Buffalo Bills,Media & Content,Maddy Glab,Multimedia Content Producer
NFL,Buffalo Bills,Media & Content,Alec Sagan,Senior Producer
NFL,Buffalo Bills,Media & Content,Kyle Trimble,Producer
NFL,Buffalo Bills,Media & Content,Steve Tasker,Reporter/Contributor
NFL,Buffalo Bills,Media & Content,Eric Wood,Color Analyst
NFL,Buffalo Bills,Corporate Partnerships,Dan Misko,Senior Vice President of Business Development
NFL,Buffalo Bills,Corporate Partnerships,Jeff Cheles,Vice President of Business Development
NFL,Buffalo Bills,Corporate Partnerships,Mary-Pat Fobi,Vice President of Partnership Services
NFL,Buffalo Bills,Corporate Partnerships,Capers Williamson,Director of Business Development
NFL,Buffalo Bills,Corporate Partnerships,Shannon D'Amico,Senior Manager of Partnership Services
NFL,Buffalo Bills,Corporate Partnerships,Abby Endres,Manager of Partnership Services
NFL,Buffalo Bills,Corporate Partnerships,Matthew Glica,Manager of Business Development
NFL,Buffalo Bills,Corporate Partnerships,Zachary Izard,Business Development Coordinator
NFL,Buffalo Bills,Corporate Partnerships,Mackenzie Moeller,Partnership Services Coordinator
NFL,Buffalo Bills,Corporate Partnerships,Jenna Castricone,Partnership Services Coordinator
NFL,Buffalo Bills,Corporate Partnerships,Nate Stern,Business Development Coordinator
NFL,Buffalo Bills,Ticket Sales & Service,Chris Colleary,Senior Vice President of Ticket & Service
NFL,Buffalo Bills,Ticket Sales & Service,Chris Holland,Vice President of Ticket Sales
NFL,Buffalo Bills,Ticket Sales & Service,Johnna diaphragms,Vice President of Ticket Operations & Service
NFL,Buffalo Bills,Ticket Sales & Service,Ryan Gates,"Director of Data and Analytics, Ticket Sales & Service"
NFL,Buffalo Bills,Ticket Sales & Service,Matt Scott,Senior Manager of Ticket Sales
NFL,Buffalo Bills,Ticket Sales & Service,Zachary Stachowski,Senior Manager of Ticket Member Services
NFL,Buffalo Bills,Ticket Sales & Service,Taylor D'Angelo,Manager of Group Sales
NFL,Buffalo Bills,Ticket Sales & Service,Sammy Mays,Ticket Sales Account Executive
NFL,Buffalo Bills,Ticket Sales & Service,Marc Rosenecker,Ticket Sales Account Executive
NFL,Buffalo Bills,Ticket Sales & Service,Matt Scott,Senior Manager of Ticket Sales
NFL,Buffalo Bills,Ticket Sales & Service,Zachary Stachowski,Senior Manager of Ticket Member Services
NFL,Buffalo Bills,Ticket Sales & Service,Taylor D'Angelo,Manager of Group Sales
NFL,Buffalo Bills,Ticket Sales & Service,Jordan McAdam,Ticket Sales Account Executive
NFL,Buffalo Bills,Ticket Sales & Service,Michael Borelli,Senior Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Zach Cercone,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Megan Christopher,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Patrick Feagan,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Brandon Fess,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Alex Korczynski,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Mikaela Lachut,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Joe Pinter,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Alexandria Tartick,Ticket Member Service Executive
NFL,Buffalo Bills,Ticket Sales & Service,Ryan Sumers,Group Sales Account Executive
NFL,Buffalo Bills,Guest Services & Stadium Operations,Andy Major,Vice President of Operations and Guest Experience
NFL,Buffalo Bills,Guest Services & Stadium Operations,Stan Spry,Director of Security
NFL,Buffalo Bills,Guest Services & Stadium Operations,Justin Booth,Director of Event Operations
NFL,Buffalo Bills,Guest Services & Stadium Operations,Teresa Majors,Director of Guest Services
NFL,Buffalo Bills,Guest Services & Stadium Operations,Cheri Pugia,Manager of Guest Services
NFL,Buffalo Bills,Guest Services & Stadium Operations,Alexandria Benfanti,Coordinator of Guest Services
NFL,Buffalo Bills,Guest Services & Stadium Operations,Dave Malacaro,Director of Game Entertainment
NFL,Buffalo Bills,Guest Services & Stadium Operations,Lisa Fisco,Game Entertainment Manager
NFL,Buffalo Bills,Guest Services & Stadium Operations,Bob Newman,Director of Grounds
NFL,Buffalo Bills,Guest Services & Stadium Operations,Ed abuttington,Director of Stadium Operations
NFL,Buffalo Bills,Guest Services & Stadium Operations,Corey Brunskill,Manager of Stadium Operations
NFL,Buffalo Bills,Information Technology,Jamie Loffredo,Vice President of Information Technology
NFL,Buffalo Bills,Information Technology,Bill McCullough,Director of Information Technology
NFL,Buffalo Bills,Information Technology,Markende Amisy,Manager of Information Technology
NFL,Buffalo Bills,Information Technology,Steve Blatner,Senior System Administrator
NFL,Buffalo Bills,Information Technology,Jordan Miller,IT Support Technician
NFL,Buffalo Bills,Information Technology,Matt Miller,IT Support Technician
NFL,Buffalo Bills,Information Technology,Adam Zyglis,Lead Application Developer
NFL,Buffalo Bills,Information Technology,Andrew Remming,Application Developer
NFL,Buffalo Bills,Information Technology,Adam Kaminski,Help Desk Manager
NFL,Buffalo Bills,Information Technology,Michael Sexton,Help Desk Technician
NFL,Buffalo Bills,Buffalo Bills Foundation,Michelle Roberts,Executive Director of the Buffalo Bills Foundation
NFL,Buffalo Bills,Business Analytics and Data Strategy,Connor SCULLY,Business Intelligence Analyst
NFL,Miami Dolphins,Ownership,Stephen Ross,Chairman of the Board and Managing General Partner
NFL,Miami Dolphins,Ownership,Bruce Beal,Vice Chairman / Partner
NFL,Miami Dolphins,Ownership,Jorge Pérez,Vice Chairman
NFL,Miami Dolphins,Ownership,Matt Higgins,Vice Chairman
NFL,Miami Dolphins,Ownership,Fergie,Partner
NFL,Miami Dolphins,Ownership,Marc Anthony,Partner
NFL,Miami Dolphins,Ownership,Serena Williams,Partner
NFL,Miami Dolphins,Ownership,Venus Williams,Partner
NFL,Miami Dolphins,Executive,Tom Garfinkel,"Vice Chairman, President and Chief Executive Officer"
NFL,Miami Dolphins,Executive,Dan Marino,Special Advisor
NFL,Miami Dolphins,Finance,Chris Clements,"Executive Vice President, Chief Financial Officer"
NFL,Miami Dolphins,Finance,Mark Brockelman,"Senior Vice President, Finance"
NFL,Miami Dolphins,Finance,Dennis M. Nemitz,"Senior Vice President, Chief Accounting Officer"
NFL,Miami Dolphins,Finance,Michael Malo,"Vice President, Controller"
NFL,Miami Dolphins,Finance,Christine Myrick,"Vice President, Finance"
NFL,Miami Dolphins,Finance,Jeff Saelens,"Vice President, Finance"
NFL,Miami Dolphins,Finance,David Culley,"Director, Financial Planning & Analysis"
NFL,Miami Dolphins,Finance,Jared Mestel,"Director, Accounting"
NFL,Miami Dolphins,Finance,Chantale Williams,"Director, Finance"
NFL,Miami Dolphins,Finance,Ashley Anderson,Senior Accountant
NFL,Miami Dolphins,Finance,Anthony D'Augustino,Senior Accountant
NFL,Miami Dolphins,Finance,Brittany Dunaske,Senior Accountant
NFL,Miami Dolphins,Finance,Kelsey Hamilton,Senior Accountant
NFL,Miami Dolphins,Finance,Steven Levy,Senior Accountant
NFL,Miami Dolphins,Finance,Kristina Pala,Senior Accountant
NFL,Miami Dolphins,Finance,Robert Penney,Senior Accountant
NFL,Miami Dolphins,Finance,Joshua Rosario,Senior Accountant
NFL,Miami Dolphins,Finance,Jessica Torres,Senior Accountant
NFL,Miami Dolphins,Finance,Michelle Weisson,Senior Accountant
NFL,Miami Dolphins,Finance,Rachael Yatto,Senior Accountant
NFL,Miami Dolphins,Finance,Jennifer Calvo,Accounting Manager
NFL,Miami Dolphins,Finance,Erica Ferran,"Manager, Accounts Payable"
NFL,Miami Dolphins,Finance,Brittney Gordon,"Manager, Payroll"
NFL,Miami Dolphins,Finance,Ryan Thayer,"Manager, Treasury"
NFL,Miami Dolphins,Finance,Jennifer Garcia,Accounts Payable Clerk
NFL,Miami Dolphins,Finance,Jessica Lopez,Accounts Payable Clerk
NFL,Miami Dolphins,Finance,Ashley Matthews,Accounts Payable Clerk
NFL,Miami Dolphins,Finance,Melissa Sordo,Accounts Payable Clerk
NFL,Miami Dolphins,Finance,Dafna Mizrahi,Executive Assistant
NFL,Miami Dolphins,Human Resources,Sam Coghill,"Senior Vice President, Human Resources & Performance Management"
NFL,Miami Dolphins,Human Resources,Tatiana Recondo,"Director, Human Resources"
NFL,Miami Dolphins,Human Resources,Lauren Hains,"Senior Manager, Human Resources"
NFL,Miami Dolphins,Human Resources,Alexis Spicer,"Manager, Human Resources"
NFL,Miami Dolphins,Human Resources,Kana Lilly,"Coordinator, Human Resources"
NFL,Miami Dolphins,Legal,Myles Pistorius,"Senior Vice President, General Counsel"
NFL,Miami Dolphins,Legal,Corey Jenkins,"Vice President, Legal & Business Affairs"
NFL,Miami Dolphins,Communications,Jason Jenkins,"Senior Vice President, Communications and Community Affairs"
NFL,Miami Dolphins,Communications,Josh Revsine,"Vice President, Communications"
NFL,Miami Dolphins,Communications,Stephanie Fonseca,"Coordinator, Corporate Communications"
NFL,Miami Dolphins,Communications,Travis Wingfield,Podcaster
NFL,Miami Dolphins,Community & Youth Programs,RaShauna Hamilton,"Senior Director, Community Relations & Youth Programs"
