"League","Team","Department","Sub-Department","Full Name","Title","Source URL","Date Accessed","AI_Provider"
"NFL","Buffalo Bills","Executive Leadership","","Kim Pegula","President","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Executive Leadership","","Terry Pegula","Owner/CEO","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Football Operations","","Brandon Beane","General Manager","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Player Personnel/Scouting","","Joe Schoen","Assistant General Manager","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Business Operations","","Jason Sinnarajah","Senior Vice President of Business Administration","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Finance/Accounting","","Chris Schoepflin","Vice President of Finance","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Marketing","","Michelle Roberts","Vice President of Marketing","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Communications/Public Relations","","Derek Boyko","Vice President of Communications","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Ticket Sales & Service","","Chris Colleary","Vice President of Ticket Sales and Service","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Corporate Partnerships","","Dan Evans","Vice President of Corporate Partnerships","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Community Relations","","Buffalo Bills Foundation","Community Relations Team","https://www.buffalobills.com/community/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Human Resources","","Marissa Mastin","Director of Human Resources","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Information Technology","","Dan Evans","Director of Information Technology","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Legal","","Kevin Meganck","General Counsel","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Stadium/Venue Operations","","Andy Major","Vice President of Operations and Guest Experience","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
"NFL","Buffalo Bills","Health & Performance","","Joe Collins","Director of Sports Performance","https://www.buffalobills.com/team/front-office-roster/","2025-06-10","OpenAI"
